Service,Category,Base Price,Additional Charges
SEO Optimization 1,Marketing,1050,210
Graphic Design 2,Design,1100,220
Business Consulting 3,Consulting,1150,230
Market Research 4,Finance,1200,240
Web Development 5,IT Services,1250,250
SEO Optimization 6,Marketing,1300,260
Graphic Design 7,Design,1350,270
Business Consulting 8,Consulting,1400,280
Market Research 9,Finance,1450,290
Web Development 10,IT Services,1500,300
SEO Optimization 11,Marketing,1550,310
Graphic Design 12,Design,1600,320
Business Consulting 13,Consulting,1650,330
Market Research 14,Finance,1700,340
Web Development 15,IT Services,1750,350
SEO Optimization 16,Marketing,1800,360
Graphic Design 17,Design,1850,370
Business Consulting 18,Consulting,1900,380
Market Research 19,Finance,1950,390
Web Development 20,IT Services,2000,400
SEO Optimization 21,Marketing,2050,410
Graphic Design 22,Design,2100,420
Business Consulting 23,Consulting,2150,430
Market Research 24,Finance,2200,440
Web Development 25,IT Services,2250,450
SEO Optimization 26,Marketing,2300,460
Graphic Design 27,Design,2350,470
Business Consulting 28,Consulting,2400,480
Market Research 29,Finance,2450,490
Web Development 30,IT Services,2500,500
SEO Optimization 31,Marketing,2550,510
Graphic Design 32,Design,2600,520
Business Consulting 33,Consulting,2650,530
Market Research 34,Finance,2700,540
Web Development 35,IT Services,2750,550
SEO Optimization 36,Marketing,2800,560
Graphic Design 37,Design,2850,570
Business Consulting 38,Consulting,2900,580
Market Research 39,Finance,2950,590
Web Development 40,IT Services,3000,600
SEO Optimization 41,Marketing,3050,610
Graphic Design 42,Design,3100,620
Business Consulting 43,Consulting,3150,630
Market Research 44,Finance,3200,640
Web Development 45,IT Services,3250,650
SEO Optimization 46,Marketing,3300,660
Graphic Design 47,Design,3350,670
Business Consulting 48,Consulting,3400,680
Market Research 49,Finance,3450,690
Web Development 50,IT Services,3500,700
SEO Optimization 51,Marketing,3550,710
Graphic Design 52,Design,3600,720
Business Consulting 53,Consulting,3650,730
Market Research 54,Finance,3700,740
Web Development 55,IT Services,3750,750
SEO Optimization 56,Marketing,3800,760
Graphic Design 57,Design,3850,770
Business Consulting 58,Consulting,3900,780
Market Research 59,Finance,3950,790
Web Development 60,IT Services,4000,800
SEO Optimization 61,Marketing,4050,810
Graphic Design 62,Design,4100,820
Business Consulting 63,Consulting,4150,830
Market Research 64,Finance,4200,840
Web Development 65,IT Services,4250,850
SEO Optimization 66,Marketing,4300,860
Graphic Design 67,Design,4350,870
Business Consulting 68,Consulting,4400,880
Market Research 69,Finance,4450,890
Web Development 70,IT Services,4500,900
SEO Optimization 71,Marketing,4550,910
Graphic Design 72,Design,4600,920
Business Consulting 73,Consulting,4650,930
Market Research 74,Finance,4700,940
Web Development 75,IT Services,4750,950
SEO Optimization 76,Marketing,4800,960
Graphic Design 77,Design,4850,970
Business Consulting 78,Consulting,4900,980
Market Research 79,Finance,4950,990
Web Development 80,IT Services,5000,1000
SEO Optimization 81,Marketing,5050,1010
Graphic Design 82,Design,5100,1020
Business Consulting 83,Consulting,5150,1030
Market Research 84,Finance,5200,1040
Web Development 85,IT Services,5250,1050
SEO Optimization 86,Marketing,5300,1060
Graphic Design 87,Design,5350,1070
Business Consulting 88,Consulting,5400,1080
Market Research 89,Finance,5450,1090
Web Development 90,IT Services,5500,1100
SEO Optimization 91,Marketing,5550,1110
Graphic Design 92,Design,5600,1120
Business Consulting 93,Consulting,5650,1130
Market Research 94,Finance,5700,1140
Web Development 95,IT Services,5750,1150
SEO Optimization 96,Marketing,5800,1160
Graphic Design 97,Design,5850,1170
Business Consulting 98,Consulting,5900,1180
Market Research 99,Finance,5950,1190
Web Development 100,IT Services,6000,1200
